tic,time,open,high,low,close,volume,day
301289.sz,2022-06-22,54.0,54.88,47.9,48.57,82360,2
301289.sz,2022-06-23,47.92,48.5,45.11,46.35,64742,3
301289.sz,2022-06-24,45.3,48.69,45.3,48.15,63318,4
301289.sz,2022-06-27,47.81,49.3,46.7,48.95,57802,0
301289.sz,2022-06-28,48.0,48.39,46.66,46.7,41953,1
301289.sz,2022-06-29,46.0,46.31,43.7,43.77,43149,2
301289.sz,2022-06-30,43.52,44.39,43.37,43.58,20443,3
301289.sz,2022-07-01,43.57,44.61,43.35,44.24,22269,4
301289.sz,2022-07-04,43.95,45.36,43.34,45.06,24359,0
301289.sz,2022-07-05,44.7,44.92,43.13,43.38,20356,1
301289.sz,2022-07-06,43.2,43.2,42.13,42.38,15530,2
301289.sz,2022-07-07,42.39,42.88,41.5,42.81,15577,3
301289.sz,2022-07-08,42.79,42.95,41.8,41.81,11912,4
301289.sz,2022-07-11,41.79,41.79,40.21,40.49,12919,0
301289.sz,2022-07-12,40.5,41.5,40.3,40.83,9805,1
301289.sz,2022-07-13,40.48,42.68,40.37,42.65,20837,2
301289.sz,2022-07-14,41.96,43.48,41.68,42.73,16478,3
301289.sz,2022-07-15,44.01,45.33,42.9,42.98,25759,4
301289.sz,2022-07-18,41.08,42.84,41.08,42.44,18441,0
301289.sz,2022-07-19,41.98,44.06,41.41,43.8,17764,1
301289.sz,2022-07-20,45.39,52.56,45.39,52.56,80511,2
301289.sz,2022-07-21,49.29,55.19,49.2,52.99,75332,3
301289.sz,2022-07-22,55.5,57.24,52.01,53.06,49340,4
301289.sz,2022-07-25,53.3,54.98,51.98,53.15,34787,0
301289.sz,2022-07-26,52.52,52.93,49.89,50.74,37738,1
301289.sz,2022-07-27,50.38,50.99,49.73,50.99,23231,2
301289.sz,2022-07-28,50.97,51.5,49.94,50.28,19867,3
301289.sz,2022-07-29,50.01,52.61,50.01,50.26,23957,4
301289.sz,2022-08-01,49.09,51.0,49.03,49.1,20810,0
301289.sz,2022-08-02,49.1,49.36,45.88,46.88,21431,1
301289.sz,2022-08-03,49.0,49.0,44.6,44.95,28775,2
301289.sz,2022-08-04,44.6,47.53,44.6,46.81,23137,3
301289.sz,2022-08-05,46.32,47.47,45.55,46.47,18058,4
301289.sz,2022-08-08,46.55,47.78,45.3,47.09,17456,0
301289.sz,2022-08-09,47.1,51.46,47.01,50.11,35060,1
301289.sz,2022-08-10,49.21,50.48,49.07,50.0,18513,2
301289.sz,2022-08-11,49.88,51.3,49.2,50.15,16715,3
301289.sz,2022-08-12,49.99,50.9,48.0,48.48,17387,4
301289.sz,2022-08-15,48.3,48.88,47.7,47.8,9983,0
301289.sz,2022-08-16,47.68,49.19,47.33,47.57,9652,1
301289.sz,2022-08-17,47.46,49.25,47.38,49.18,14901,2
301289.sz,2022-08-18,49.18,58.11,48.7,57.53,45187,3
301289.sz,2022-08-19,55.85,56.88,53.0,53.35,26226,4
301289.sz,2022-08-22,53.58,58.58,53.58,56.28,26781,0
301289.sz,2022-08-23,58.18,58.18,54.72,55.55,12889,1
301289.sz,2022-08-24,55.0,55.98,52.91,53.2,16983,2
301289.sz,2022-08-25,53.0,57.5,50.39,55.57,22172,3
301289.sz,2022-08-26,55.99,56.7,53.35,54.4,14924,4
301289.sz,2022-08-29,53.1,54.7,52.8,53.0,7240,0
301289.sz,2022-08-30,52.81,54.17,51.74,53.14,8395,1
301289.sz,2022-08-31,53.05,53.05,50.85,51.5,8795,2
301289.sz,2022-09-01,51.5,54.41,51.0,53.79,12556,3
301289.sz,2022-09-02,54.16,54.88,49.41,51.12,16577,4
301289.sz,2022-09-05,50.23,51.25,49.23,49.89,7745,0
301289.sz,2022-09-06,50.68,51.18,47.86,50.92,8836,1
301289.sz,2022-09-07,50.54,51.21,49.01,49.78,9512,2
301289.sz,2022-09-08,50.0,50.0,48.23,48.83,7417,3
301289.sz,2022-09-09,48.7,49.87,47.45,49.44,7878,4
301289.sz,2022-09-13,49.44,51.01,48.68,50.51,8260,1
301289.sz,2022-09-14,49.38,50.18,49.01,49.65,4970,2
301289.sz,2022-09-15,50.6,50.66,45.53,46.59,15196,3
301289.sz,2022-09-16,46.45,46.56,45.18,45.18,5037,4
301289.sz,2022-09-19,45.01,45.72,44.3,44.55,3538,0
301289.sz,2022-09-20,45.0,46.33,44.85,45.35,3762,1
301289.sz,2022-09-21,44.91,46.27,44.05,45.91,4885,2
301289.sz,2022-09-22,45.75,46.88,45.36,46.06,4215,3
301289.sz,2022-09-23,46.06,46.06,43.8,44.45,5683,4
301289.sz,2022-09-26,44.02,45.16,43.5,44.34,3993,0
301289.sz,2022-09-27,44.4,48.5,44.4,47.12,11671,1
301289.sz,2022-09-28,47.2,47.47,46.0,46.72,4292,2
301289.sz,2022-09-29,46.72,47.0,44.65,44.65,5321,3
301289.sz,2022-09-30,44.73,44.82,43.86,44.12,3585,4
301289.sz,2022-10-10,44.13,44.47,41.37,42.2,3581,0
301289.sz,2022-10-11,42.2,42.52,41.43,42.23,1741,1
301289.sz,2022-10-12,42.15,43.79,41.22,43.67,3832,2
