read amount,comments,title,content link,author,create time
41,0,泰格医药7月13日盘中涨幅达5%,"/news,300347,1330336237.html",泰格医药资讯,07-13 10:21
51,0,泰格医药：融资净买入545.21万元，融资余额6.39亿元（07-12）,"/news,300347,1330237642.html",泰格医药资讯,07-13 08:59
78,0,泰格医药07月12日获深股通增持63.76万股,"/news,300347,1330233208.html",泰格医药资讯,07-13 08:37
102,0,泰格医药07月11日获深股通增持7.73万股,"/news,300347,1329742263.html",泰格医药资讯,07-12 09:02
68,0,泰格医药：融资净偿还664.09万元，融资余额6.33亿元（07-11）,"/news,300347,1329741596.html",泰格医药资讯,07-12 08:59
85,0,泰格医药：融资净买入420.37万元，融资余额6.4亿元（07-10）,"/news,300347,1329306955.html",泰格医药资讯,07-11 08:53
105,0,泰格医药07月10日被深股通减持10.02万股,"/news,300347,1329305220.html",泰格医药资讯,07-11 08:43
73,0,泰格医药：连续3日融资净偿还累计1194.3万元（07-07）,"/news,300347,1328903700.html",泰格医药资讯,07-10 08:57
92,0,泰格医药本周融资净买入1376.65万元，居医疗服务板块第二,"/news,300347,1328841553.html",大眼看两融,07-09 03:05
108,0,泰格医药本周深股通持股市值增加5562.42万元，居医疗服务板块第三,"/news,300347,1328835915.html",胖猫周周见,07-09 02:11
229,1,泰格医药07月07日被深股通减持43.9万股,"/news,300347,1328763585.html",泰格医药资讯,07-08 08:42
104,0,泰格医药07月06日被深股通减持12.23万股,"/news,300347,1328378717.html",泰格医药资讯,07-07 09:05
81,0,泰格医药：融资净偿还76.33万元，融资余额6.44亿元（07-06）,"/news,300347,1328378015.html",泰格医药资讯,07-07 09:02
127,0,泰格医药07月05日获深股通增持66.02万股,"/news,300347,1327920872.html",泰格医药资讯,07-06 09:07
73,0,泰格医药：融资净偿还350.77万元，融资余额6.44亿元（07-05）,"/news,300347,1327918527.html",泰格医药资讯,07-06 08:58
71,0,泰格医药：融资净买入1745.04万元，融资余额6.48亿元（07-04）,"/news,300347,1327461502.html",泰格医药资讯,07-05 08:53
113,0,泰格医药07月04日获深股通增持73.45万股,"/news,300347,1327457060.html",泰格医药资讯,07-05 08:33
71,0,泰格医药：融资净买入58.72万元，融资余额6.3亿元（07-03）,"/news,300347,1327005071.html",泰格医药资讯,07-04 08:54
90,2,泰格医药7月3日快速反弹,"/news,300347,1326586830.html",泰格医药资讯,07-03 09:38
101,0,泰格医药：连续3日融资净偿还累计1171.95万元（06-30）,"/news,300347,1326555125.html",泰格医药资讯,07-03 09:04
115,0,泰格医药本周融资净买入255.66万元，居医疗服务板块第十,"/news,300347,1326464462.html",大眼看两融,07-02 03:06
109,0,泰格医药本周深股通持股市值减少2.26亿元，居医疗服务板块第一,"/news,300347,1326458867.html",胖猫周周见,07-02 02:12
175,0,泰格医药06月30日获深股通增持34.08万股,"/news,300347,1326370623.html",泰格医药资讯,07-01 07:59
73,0,泰格医药：融资净偿还179.22万元，融资余额6.33亿元（06-29）,"/news,300347,1325949313.html",泰格医药资讯,06-30 09:05
95,0,泰格医药06月29日被深股通减持30.1万股,"/news,300347,1325939435.html",泰格医药资讯,06-30 08:07
73,0,泰格医药：融资净偿还668.45万元，融资余额6.35亿元（06-28）,"/news,300347,1325491502.html",泰格医药资讯,06-29 08:59
116,2,泰格医药06月28日被深股通减持68.22万股,"/news,300347,1325482212.html",泰格医药资讯,06-29 08:02
67,0,泰格医药：融资净买入497.96万元，融资余额6.42亿元（06-27）,"/news,300347,1325015218.html",泰格医药资讯,06-28 08:50
129,0,泰格医药06月27日被深股通减持80.03万股,"/news,300347,1325007040.html",泰格医药资讯,06-28 07:56
76,0,泰格医药：融资净买入605.36万元，融资余额6.37亿元（06-26）,"/news,300347,1324583205.html",泰格医药资讯,06-27 08:57
116,0,泰格医药06月26日被深股通减持199.71万股,"/news,300347,1324574071.html",泰格医药资讯,06-27 08:01
89,0,泰格医药股价连续2日创逾38个月新低,"/news,300347,1324427453.html",数据快报,06-26 03:40
64,0,泰格医药：融资净偿还406.96万元，融资余额6.31亿元（06-21）,"/news,300347,1324103298.html",泰格医药资讯,06-26 08:48
195,0,泰格医药06月21日被深股通减持44.99万股,"/news,300347,1323732231.html",泰格医药资讯,06-22 07:47
97,0,泰格医药6月21日盘中跌幅达5%,"/news,300347,1323371123.html",泰格医药资讯,06-21 10:12
78,0,泰格医药：融资净买入2305.81万元，融资余额6.35亿元（06-20）,"/news,300347,1323271259.html",泰格医药资讯,06-21 08:51
