read amount,comments,title,content link,author,create time
66,0,时代电气07月12日获沪股通增持19.72万股,"/news,688187,1330250541.html",时代电气资讯,07-13 09:25
57,0,时代电气：融资净买入187.14万元，融资余额3.13亿元（07-12）,"/news,688187,1330223594.html",时代电气资讯,07-13 07:38
123,1,时代电气07月11日获沪股通增持79.87万股,"/news,688187,1329765717.html",时代电气资讯,07-12 09:34
58,0,时代电气：融资净偿还29.11万元，融资余额3.11亿元（07-11）,"/news,688187,1329729340.html",时代电气资讯,07-12 07:35
116,0,时代电气07月10日获沪股通增持57.14万股,"/news,688187,1329319876.html",时代电气资讯,07-11 09:25
57,0,时代电气：融资净买入103.87万元，融资余额3.12亿元（07-10）,"/news,688187,1329296003.html",时代电气资讯,07-11 07:36
63,0,时代电气本周融资净买入15.7万元，居交运设备板块第十六,"/news,688187,1328843836.html",大眼看两融,07-09 03:10
114,0,时代电气本周沪股通持股市值增加9863.17万元，居交运设备板块第一,"/news,688187,1328838134.html",胖猫周周见,07-09 02:18
374,4,时代电气07月07日获沪股通增持56.25万股,"/news,688187,1328767934.html",时代电气资讯,07-08 09:41
89,1,时代电气：融资净偿还9.2万元，融资余额3.11亿元（07-07）,"/news,688187,1328760254.html",时代电气资讯,07-08 07:46
111,2,时代电气07月06日获沪股通增持50.81万股,"/news,688187,1328402670.html",时代电气资讯,07-07 09:35
69,2,时代电气：融资净买入416.61万元，融资余额3.11亿元（07-06）,"/news,688187,1328365647.html",时代电气资讯,07-07 07:41
212,2,时代电气07月05日获沪股通增持69.73万股,"/news,688187,1327932873.html",时代电气资讯,07-06 09:29
81,1,时代电气：融资净偿还1116.02万元，融资余额3.07亿元（07-05）,"/news,688187,1327905775.html",时代电气资讯,07-06 07:39
116,0,时代电气07月04日获沪股通增持48.53万股,"/news,688187,1327476630.html",时代电气资讯,07-05 09:29
75,0,时代电气：融资净买入1039.4万元，融资余额3.18亿元（07-04）,"/news,688187,1327449042.html",时代电气资讯,07-05 07:35
78,0,时代电气：融资净偿还315.1万元，融资余额3.07亿元（07-03）,"/news,688187,1326992997.html",时代电气资讯,07-04 07:35
53,0,时代电气本周融资净偿还846.75万元，居交运设备板块第五,"/news,688187,1326466274.html",大眼看两融,07-02 03:09
91,0,时代电气本周沪股通持股市值增加4445.49万元，居交运设备板块第三,"/news,688187,1326460550.html",胖猫周周见,07-02 02:17
210,1,时代电气06月30日获沪股通增持36.77万股,"/news,688187,1326372974.html",时代电气资讯,07-01 08:16
78,0,时代电气：融资净买入79.67万元，融资余额3.11亿元（06-30）,"/news,688187,1326369041.html",时代电气资讯,07-01 07:47
69,0,时代电气06月29日被沪股通减持5.9万股,"/news,688187,1325940254.html",时代电气资讯,06-30 08:12
42,0,时代电气：融资净偿还240.12万元，融资余额3.1亿元（06-29）,"/news,688187,1325934832.html",时代电气资讯,06-30 07:41
103,0,时代电气06月28日获沪股通增持25.47万股,"/news,688187,1325484449.html",时代电气资讯,06-29 08:14
42,0,时代电气：融资净偿还638.36万元，融资余额3.12亿元（06-28）,"/news,688187,1325479021.html",时代电气资讯,06-29 07:41
87,0,东方财富证券维持时代电气买入评级 预计2023年净利润同比增长16.44%,"/news,688187,1325422969.html",公司研报提示,06-28 09:18
849,4,东方财富证券给予时代电气买入评级 深度研究：交通与能源携手 国内与海外并进,"/news,688187,1325413957.html",时代电气资讯,06-28 08:21
