read amount,comments,title,content link,author,create time
69,0,福耀玻璃：融资余额6.69亿元，创近一年新低（07-12）,"/news,600660,1330222670.html",福耀玻璃资讯,07-13 07:33
135,0,福耀玻璃07月11日获沪股通增持221.99万股,"/news,600660,1329733754.html",福耀玻璃资讯,07-12 08:06
99,1,福耀玻璃：融资余额6.79亿元，创近一年新低（07-11）,"/news,600660,1329731435.html",福耀玻璃资讯,07-12 07:46
197,0,招商证券维持福耀玻璃强烈推荐评级 预计2023年净利润同比增长6.63%,"/news,600660,1329357871.html",公司研报提示,07-11 09:51
189,2,福耀玻璃07月10日获沪股通增持97.95万股,"/news,600660,1329298996.html",福耀玻璃资讯,07-11 07:56
120,0,福耀玻璃：融资余额6.83亿元，创近一年新低（07-10）,"/news,600660,1329295676.html",福耀玻璃资讯,07-11 07:33
205,0,福耀玻璃本周融资净偿还1766.34万元，居玻璃玻纤板块第一,"/news,600660,1328842254.html",大眼看两融,07-09 03:07
200,2,福耀玻璃本周沪股通持股市值增加1.8亿元，居玻璃玻纤板块第一,"/news,600660,1328836694.html",胖猫周周见,07-09 02:13
270,0,福耀玻璃07月07日获沪股通增持97.3万股,"/news,600660,1328762261.html",福耀玻璃资讯,07-08 08:20
186,0,福耀玻璃：融资余额6.89亿元，创近一年新低（07-07）,"/news,600660,1328759187.html",福耀玻璃资讯,07-08 07:37
196,1,福耀玻璃07月06日获沪股通增持120.8万股,"/news,600660,1328369569.html",福耀玻璃资讯,07-07 08:10
91,0,福耀玻璃：融资余额6.92亿元，创近一年新低（07-06）,"/news,600660,1328368179.html",福耀玻璃资讯,07-07 08:00
234,3,福耀玻璃07月05日获沪股通增持43.22万股,"/news,600660,1327909281.html",福耀玻璃资讯,07-06 07:59
90,0,福耀玻璃：融资净买入292.7万元，融资余额7.02亿元（07-05）,"/news,600660,1327904705.html",福耀玻璃资讯,07-06 07:33
156,1,福耀玻璃07月04日获沪股通增持42.45万股,"/news,600660,1327453067.html",福耀玻璃资讯,07-05 08:01
150,1,福耀玻璃：融资余额6.99亿元，创近一年新低（07-04）,"/news,600660,1327449131.html",福耀玻璃资讯,07-05 07:35
132,0,福耀玻璃07月03日获沪股通增持198.54万股,"/news,600660,1326997825.html",福耀玻璃资讯,07-04 08:10
77,0,福耀玻璃：融资余额7.03亿元，创近一年新低（07-03）,"/news,600660,1326992716.html",福耀玻璃资讯,07-04 07:33
610,5,华泰证券维持福耀玻璃买入评级 目标价43.15元,"/news,600660,1326477226.html",公司研报提示,07-02 05:41
118,0,福耀玻璃本周融资净偿还4306.84万元，居玻璃玻纤板块第一,"/news,600660,1326464411.html",大眼看两融,07-02 03:06
160,0,福耀玻璃本周获沪股通增持4.07亿元，周内增持市值两市排名第四,"/news,600660,1326459747.html",胖猫周周见,07-02 02:15
223,0,福耀玻璃06月30日获沪股通增持222.27万股,"/news,600660,1326368525.html",福耀玻璃资讯,07-01 07:43
122,0,福耀玻璃：融资余额7.06亿元，创近一年新低（06-30）,"/news,600660,1326366888.html",福耀玻璃资讯,07-01 07:31
114,0,福耀玻璃06月29日获沪股通增持203.58万股,"/news,600660,1325935403.html",福耀玻璃资讯,06-30 07:45
85,0,福耀玻璃：融资余额7.3亿元，创近一年新低（06-29）,"/news,600660,1325933188.html",福耀玻璃资讯,06-30 07:32
109,0,福耀玻璃06月28日获沪股通增持321.63万股,"/news,600660,1325480758.html",福耀玻璃资讯,06-29 07:53
88,0,福耀玻璃：融资余额7.34亿元，创近一年新低（06-28）,"/news,600660,1325477373.html",福耀玻璃资讯,06-29 07:30
149,2,福耀玻璃06月27日获沪股通增持76.76万股,"/news,600660,1325005391.html",福耀玻璃资讯,06-28 07:46
94,0,福耀玻璃：连续8日融资净偿还累计5225.54万元（06-27）,"/news,600660,1325003289.html",福耀玻璃资讯,06-28 07:34
71,0,福耀玻璃：连续7日融资净偿还累计4527.13万元（06-26）,"/news,600660,1324570869.html",福耀玻璃资讯,06-27 07:40
133,0,福耀玻璃06月26日获沪股通增持338.23万股,"/news,600660,1324570206.html",福耀玻璃资讯,06-27 07:36
177,0,福耀玻璃本周融资净偿还1760.47万元，居玻璃玻纤板块第二,"/news,600660,1323973865.html",大眼看两融,06-25 03:04
138,0,福耀玻璃：连续6日融资净偿还累计4269.57万元（06-21）,"/news,600660,1323734615.html",福耀玻璃资讯,06-22 08:04
188,0,福耀玻璃06月20日获沪股通增持92.01万股,"/news,600660,1323258476.html",福耀玻璃资讯,06-21 07:48
95,0,福耀玻璃：连续5日融资净偿还累计4180.39万元（06-20）,"/news,600660,1323255518.html",福耀玻璃资讯,06-21 07:34
121,0,福耀玻璃06月19日获沪股通增持316.92万股,"/news,600660,1322757049.html",福耀玻璃资讯,06-20 07:47
77,0,福耀玻璃：连续4日融资净偿还累计3404.4万元（06-19）,"/news,600660,1322755011.html",福耀玻璃资讯,06-20 07:34
128,0,福耀玻璃本周融资净偿还3396.54万元，居玻璃玻纤板块第一,"/news,600660,1322206407.html",大眼看两融,06-18 03:06
125,0,福耀玻璃本周沪股通持股市值增加1.83亿元，居玻璃玻纤板块第一,"/news,600660,1322200862.html",胖猫周周见,06-18 02:07
208,0,福耀玻璃06月16日获沪股通增持102.05万股,"/news,600660,1322098150.html",福耀玻璃资讯,06-17 07:49
