read amount,comments,title,content link,author,create time
141,3,药明康德7月13日快速上涨,"/news,603259,1330261475.html",药明康德资讯,07-13 09:33
97,0,药明康德07月12日获沪股通增持95.83万股,"/news,603259,1330243476.html",药明康德资讯,07-13 09:17
72,0,药明康德：融资净买入363.89万元，融资余额27.33亿元（07-12）,"/news,603259,1330222262.html",药明康德资讯,07-13 07:31
124,1,药明康德：融资净偿还1102.15万元，融资余额27.29亿元（07-11）,"/news,603259,1329730972.html",药明康德资讯,07-12 07:44
134,0,药明康德：融资净买入2597.66万元，融资余额27.4亿元（07-10）,"/news,603259,1329295674.html",药明康德资讯,07-11 07:33
87,0,药明康德本周融资净偿还3799.13万元，居医疗服务板块第二,"/news,603259,1328841929.html",大眼看两融,07-09 03:06
121,0,药明康德本周沪股通持股市值减少3428.76万元，居医疗服务板块第四,"/news,603259,1328836606.html",胖猫周周见,07-09 02:13
176,1,药明康德：融资净偿还854.75万元，融资余额27.14亿元（07-07）,"/news,603259,1328758834.html",药明康德资讯,07-08 07:34
203,2,药明康德07月06日获沪股通增持41.95万股,"/news,603259,1328381884.html",药明康德资讯,07-07 09:16
109,0,药明康德：融资净买入2112.23万元，融资余额27.23亿元（07-06）,"/news,603259,1328365834.html",药明康德资讯,07-07 07:42
161,0,药明康德07月05日被沪股通减持78.86万股,"/news,603259,1327931236.html",药明康德资讯,07-06 09:25
102,0,药明康德：连续5日融资净偿还累计8031.52万元（07-05）,"/news,603259,1327905697.html",药明康德资讯,07-06 07:38
200,2,药明康德07月04日被沪股通减持120.95万股,"/news,603259,1327465215.html",药明康德资讯,07-05 09:07
129,1,药明康德：连续4日融资净偿还累计5804.17万元（07-04）,"/news,603259,1327448320.html",药明康德资讯,07-05 07:31
4908,35,大宗交易：药明康德成交2885.18万元，成交均价64.85元（07-04）,"/news,603259,1327321692.html",药明康德资讯,07-04 05:17
154,0,药明康德07月03日获沪股通增持114.44万股,"/news,603259,1327011679.html",药明康德资讯,07-04 09:17
114,0,药明康德：连续3日融资净偿还累计4370.03万元（07-03）,"/news,603259,1326992714.html",药明康德资讯,07-04 07:33
187,0,药明康德本周融资净买入1412.13万元，居医疗服务板块第三,"/news,603259,1326464475.html",大眼看两融,07-02 03:06
142,0,药明康德本周沪股通持股市值减少2.16亿元，居医疗服务板块第二,"/news,603259,1326459278.html",胖猫周周见,07-02 02:14
153,0,药明康德：融资净偿还1747.89万元，融资余额27.52亿元（06-30）,"/news,603259,1326367850.html",药明康德资讯,07-01 07:38
9854,68,药明康德：对今年全年指引和未来发展充满信心,"/news,603259,1326342328.html",药明康德资讯,06-30 11:07
261,1,药明康德06月29日获沪股通增持27.21万股,"/news,603259,1325940684.html",药明康德资讯,06-30 08:14
95,0,药明康德：融资净偿还1227.02万元，融资余额27.7亿元（06-29）,"/news,603259,1325933360.html",药明康德资讯,06-30 07:33
377,4,药明康德06月28日被沪股通减持175.65万股,"/news,603259,1325484336.html",药明康德资讯,06-29 08:13
178,0,药明康德：融资净买入4189.6万元，融资余额27.82亿元（06-28）,"/news,603259,1325477624.html",药明康德资讯,06-29 07:32
280,1,药明康德06月27日被沪股通减持89.66万股,"/news,603259,1325009149.html",药明康德资讯,06-28 08:07
107,0,药明康德：融资净买入2869.24万元，融资余额27.4亿元（06-27）,"/news,603259,1325003766.html",药明康德资讯,06-28 07:36
340,4,药明康德06月26日被沪股通减持87.25万股,"/news,603259,1324574497.html",药明康德资讯,06-27 08:03
105,0,药明康德：融资净偿还2671.79万元，融资余额27.11亿元（06-26）,"/news,603259,1324572314.html",药明康德资讯,06-27 07:49
106,0,药明康德本周融资净买入1.4亿元，两市排名第15,"/news,603259,1323973780.html",大眼看两融,06-25 03:04
178,0,药明康德：融资净买入1.17亿元，两市排名第五（06-21）,"/news,603259,1323734987.html",药明康德资讯,06-22 08:07
