read amount,comments,title,content link,author,create time
60,0,德业股份07月12日获沪股通增持7.45万股,"/news,605117,1330244490.html",德业股份资讯,07-13 09:19
64,0,德业股份：融资净偿还603.19万元，融资余额5.48亿元（07-12）,"/news,605117,1330223430.html",德业股份资讯,07-13 07:37
1196,3,未对生产经营造成较大影响！600亿储能龙头德业股份回应“造假”风波：标准差异理解偏差,"/news,605117,1329889579.html",德业股份资讯,07-12 10:48
56,0,德业股份07月11日被沪股通减持33.5万股,"/news,605117,1329745583.html",德业股份资讯,07-12 09:12
58,0,德业股份：连续9日融资净买入累计8102万元（07-11）,"/news,605117,1329730326.html",德业股份资讯,07-12 07:40
90,0,华创证券维持德业股份推荐评级 目标价188.55元,"/news,605117,1329725029.html",公司研报提示,07-12 06:57
1871,3,消失的继电器 原因竟是……,"/news,605117,1329678543.html",德业股份资讯,07-11 09:43
606,12,德业股份：直接销售至德国及奥地利的微型逆变器金额较小,"/news,605117,1329656246.html",德业股份资讯,07-11 08:20
313,1,德业股份回应市场传闻：直接销售至德国及奥地利的微型逆变器金额较小,"/news,605117,1329628039.html",德业股份资讯,07-11 06:14
695,3,德业股份被指产品“造假”股价大跌！广发基金旗下13只基金持股,"/news,605117,1329628033.html",德业股份资讯,07-11 06:13
1241,22,德业股份回应市场传闻：销往德国等地的微型逆变器产品销售金额较小 预计不会对当期业绩产生重大影响,"/news,605117,1329622294.html",德业股份资讯,07-11 05:46
793,13,德业股份：直接销售至德国及奥地利的微型逆变器金额较小,"/news,605117,1329617666.html",德业股份资讯,07-11 05:34
625,2,德业股份遭遇跨国打假 海外市场开拓受阻,"/news,605117,1329614896.html",德业股份资讯,07-11 05:14
2709,11,德业股份：微逆产品处置方案已获分销商认可,"/news,605117,1329425195.html",德业股份资讯,07-11 10:49
714,3,东吴证券给予德业股份买入评级,"/news,605117,1329419249.html",德业股份资讯,07-11 10:42
75,0,东吴证券维持德业股份买入评级 目标价194元,"/news,605117,1329412528.html",公司研报提示,07-11 10:37
544,2,德业股份被曝“德国市场产品偷工减料”公司回应：正积极处理,"/news,605117,1329367255.html",德业股份资讯,07-11 09:51
63,0,德业股份07月10日获沪股通增持29.97万股,"/news,605117,1329311671.html",德业股份资讯,07-11 09:11
71,0,德业股份：连续8日融资净买入累计6943.7万元（07-10）,"/news,605117,1329296541.html",德业股份资讯,07-11 07:40
725,3,受益亚非拉市场需求爆发 德业股份上半年净利预增约2倍,"/news,605117,1329293335.html",德业股份资讯,07-11 06:55
577,3,亚非拉地区户用储能需求上升带动逆变器销量大增 德业股份上半年业绩预增,"/news,605117,1329287170.html",德业股份资讯,07-11 02:14
3427,17,600亿巨头被指“造假”？回应来了,"/news,605117,1329259679.html",德业股份资讯,07-10 09:59
893,0,亚非拉储能市场需求爆发式上升 德业股份上半年扣非净利润同比预增224.46%到242.67%,"/news,605117,1329232251.html",德业股份资讯,07-10 07:49
846,0,德业股份：预计2023年上半年净利润为13亿元到13.8亿元 同比增加188.58%到206.34%,"/news,605117,1329220449.html",德业股份资讯,07-10 06:54
420,0,受益亚非拉户储市场需求爆发 德业股份上半年净利同比预增超1.8倍,"/news,605117,1329215970.html",德业股份资讯,07-10 06:32
2709,23,德业股份被外国测评博主“打假” 业内人士：对法规不熟悉踩坑,"/news,605117,1329216086.html",德业股份资讯,07-10 06:25
2780,16,德业股份：上半年净利润预增188.58%-206.34%,"/news,605117,1329205157.html",德业股份资讯,07-10 05:41
