read amount,comments,title,content link,author,create time
70,0,华东医药：融资净买入1445.54万元，融资余额9.29亿元（07-12）,"/news,000963,1330234598.html",华东医药资讯,07-13 08:45
2251,6,华东医药：全球首创叶酸受体ADC产品国内首方落地博鳌,"/news,000963,1330234252.html",华东医药资讯,07-13 08:43
84,0,华东医药：融资净偿还3327.66万元，融资余额9.14亿元（07-11）,"/news,000963,1329738941.html",华东医药资讯,07-12 08:46
153,0,华东医药07月11日被深股通减持45.85万股,"/news,000963,1329731730.html",华东医药资讯,07-12 07:48
6746,6,千亿级“减肥神药”市场 又迎来一位国内玩家,"/news,000963,1329687927.html",华东医药资讯,07-11 10:23
1236,1,华东医药全球首个卵巢癌ADC药物被纳入国内优先审评,"/news,000963,1329626052.html",华东医药资讯,07-11 06:06
2400,17,华东医药合作产品被纳入国内优先审评 计划三季度提交上市申请,"/news,000963,1329617677.html",华东医药资讯,07-11 05:32
2165,6,华东医药：索米妥昔单抗注射液被纳入优先审评,"/news,000963,1329601650.html",华东医药资讯,07-11 04:30
94,0,华东医药：融资净买入1927.54万元，融资余额9.47亿元（07-10）,"/news,000963,1329304588.html",华东医药资讯,07-11 08:40
198,2,华东医药07月10日被深股通减持91.37万股,"/news,000963,1329298488.html",华东医药资讯,07-11 07:53
97,0,华东医药：融资净偿还1130.42万元，融资余额9.28亿元（07-07）,"/news,000963,1328901150.html",华东医药资讯,07-10 08:45
151,0,华东医药本周融资净买入6826.16万元，居化学制药板块第三,"/news,000963,1328841168.html",大眼看两融,07-09 03:05
218,1,华东医药本周深股通持股市值减少1.27亿元，居化学制药板块第一,"/news,000963,1328835961.html",胖猫周周见,07-09 02:11
176,0,长城国瑞证券维持华东医药买入评级 预计2023年净利润同比增长25.99%,"/news,000963,1328536928.html",公司研报提示,07-07 11:20
83,0,华东医药7月7日盘中涨幅达5%,"/news,000963,1328471455.html",华东医药资讯,07-07 10:17
90,0,华东医药7月7日快速上涨,"/news,000963,1328400959.html",华东医药资讯,07-07 09:33
2969,9,长城国瑞证券给予华东医药买入评级 利拉鲁肽注射液肥胖超重适应症获批 关注后续产品放量,"/news,000963,1328375163.html",华东医药资讯,07-07 08:48
91,0,华东医药：融资净偿还229.92万元，融资余额9.39亿元（07-06）,"/news,000963,1328373708.html",华东医药资讯,07-07 08:41
151,0,华东医药07月06日获深股通增持24.93万股,"/news,000963,1328368704.html",华东医药资讯,07-07 08:04
2380,3,国产首款“减肥药”利拉鲁肽获批 百度健康现货首发,"/news,000963,1328321541.html",华东医药资讯,07-06 10:53
2091,7,首个“减肥针”在国内获批 可凭医生处方购买使用,"/news,000963,1328288500.html",华东医药资讯,07-06 08:21
2277,6,国内首款“减肥针”获批 会是好生意吗？,"/news,000963,1328048313.html",华东医药资讯,07-06 10:26
105,0,华东医药：融资净买入6402.07万元，创近一年新高（07-05）,"/news,000963,1327914995.html",华东医药资讯,07-06 08:41
187,2,华东医药07月05日被深股通减持211.7万股,"/news,000963,1327909650.html",华东医药资讯,07-06 08:01
146,0,华创证券维持华东医药推荐评级 目标价58元,"/news,000963,1327901244.html",公司研报提示,07-06 06:57
2898,7,阿里健康：华东医药利拉鲁肽糖尿病适应症产品已在线上首发,"/news,000963,1327865484.html",华东医药资讯,07-05 10:43
1368,3,角逐百亿市场！ 华东医药“减肥针”获批上市,"/news,000963,1327852656.html",华东医药资讯,07-05 09:52
4841,17,首个国产GLP-1“减肥药”获批,"/news,000963,1327825135.html",华东医药资讯,07-05 08:05
1304,9,致癌风险难掩掘金热情 国内首个“减肥针”获批 GLP-1领域竞争升级,"/news,000963,1327823155.html",华东医药资讯,07-05 07:59
164,0,华东医药利拉鲁肽获批 拿下首个国产GLP-1“减肥针” 然市场接受度仍待检验,"/news,000963,1327907768.html",华东医药资讯,07-05 06:53
1105,3,华东医药：中国远大集团有限责任公司累计质押股数约为1.21亿股,"/news,000963,1327786623.html",华东医药资讯,07-05 05:39
3794,9,不用等马斯克同款！首个国产GLP-1率先上市 华东医药：对于需求火爆有一定预期,"/news,000963,1327745590.html",华东医药资讯,07-05 03:09
2192,2,华东医药回应减重适应症获批：视需求适时调整产能,"/news,000963,1327689314.html",华东医药资讯,07-05 02:03
2211,8,国产首个“减肥针”获批 竞争者环伺 华东医药“压力山大”,"/news,000963,1327680394.html",华东医药资讯,07-05 01:45
1554,3,华东医药利拉鲁肽获批减肥适应症：但原研二代产品已呼之欲出,"/news,000963,1327662886.html",华东医药资讯,07-05 01:29
835,0,首个国产“减肥神药”利拉鲁肽获批上市 抢到头筹竟是这家A股公司,"/news,000963,1327635244.html",华东医药资讯,07-05 12:42
756,1,华东医药利拉鲁肽注射液超重适应症获批 百亿减重市场迎新,"/news,000963,1327597943.html",华东医药资讯,07-05 11:05
305,1,中金公司维持华东医药跑赢行业评级 目标价58.4元,"/news,000963,1327546585.html",公司研报提示,07-05 10:15
94,0,国金证券维持华东医药买入评级 预计2023年净利润同比增长18.72%,"/news,000963,1327529078.html",公司研报提示,07-05 10:02
1500,3,国金证券给予华东医药买入评级，利拉鲁肽注射液肥胖超重适应症获批，构筑丰富GLP-1靶点产品体系,"/news,000963,1327529521.html",华东医药资讯,07-05 10:01
133,1,华东医药7月5日快速回调,"/news,000963,1327496176.html",华东医药资讯,07-05 09:39
82,0,华东医药7月5日开盘涨幅达5%,"/news,000963,1327480702.html",华东医药资讯,07-05 09:30
104,0,华泰证券维持华东医药买入评级 目标价55.02元,"/news,000963,1327469346.html",公司研报提示,07-05 09:21
28396,44,首个国产“减肥神药”利拉鲁肽获批上市 抢到头筹竟是这家A股公司！,"/news,000963,1327462263.html",华东医药资讯,07-05 08:55
77,0,华东医药：连续4日融资净买入累计1130.54万元（07-04）,"/news,000963,1327458489.html",华东医药资讯,07-05 08:41
121,0,华东医药07月04日被深股通减持36.79万股,"/news,000963,1327451734.html",华东医药资讯,07-05 07:49
2007,4,重磅！华东医药国产利拉鲁肽注射液减重适应症上市获批 加足马力开拓GLP-1赛道布局,"/news,000963,1327409394.html",华东医药资讯,07-04 10:40
1383,3,首个国产利拉鲁肽减重适应症获批 抢到头筹竟是这家A股,"/news,000963,1327404004.html",华东医药资讯,07-04 10:17
502,0,华东医药国产利拉鲁肽注射液肥胖或超重适应症上市许可申请获批,"/news,000963,1327402716.html",华东医药资讯,07-04 10:15
4993,11,首个“减肥针”在国内获批 但可能并不好卖,"/news,000963,1327405187.html",华东医药资讯,07-04 10:13
461,1,药企竞逐减重市场 首个国产“减肥针”撞线,"/news,000963,1327410890.html",华东医药资讯,07-04 10:00
689,1,获批上市！国内首个用于减肥的GLP-1受体激动剂来了,"/news,000963,1327389819.html",华东医药资讯,07-04 09:24
3584,3,国产企业率先破局：中国市场首个GLP-1减肥药获批上市,"/news,000963,1327386598.html",华东医药资讯,07-04 09:15
816,2,国内首个GLP-1获批减重适应症 华东医药开启减重市场新纪元,"/news,000963,1327380995.html",华东医药资讯,07-04 08:56
2000,4,华东医药“减肥针”获批上市 将与诺和诺德角逐百亿减肥药市场,"/news,000963,1327371295.html",华东医药资讯,07-04 08:21
2317,7,首个国产GLP-1“减肥神药”来了 华东医药利拉鲁肽获批,"/news,000963,1327357901.html",华东医药资讯,07-04 07:16
738,1,3.2亿研发投入 华东医药拿下首款国产利拉鲁肽减肥药注册证书,"/news,000963,1327349416.html",华东医药资讯,07-04 06:39
1192,2,华东医药利拉鲁肽减重适应症上市获批 为国内首家,"/news,000963,1327326799.html",华东医药资讯,07-04 05:31
574,2,华东医药利拉鲁肽注射液肥胖或超重适应症获批上市,"/news,000963,1327316619.html",华东医药资讯,07-04 04:55
2103,14,华东医药：子公司利拉鲁肽注射液肥胖或超重适应症上市许可申请获批,"/news,000963,1327310314.html",华东医药资讯,07-04 04:32
330,0,华东医药：子公司获得利拉鲁肽注射液药品注册证书,"/news,000963,1327309261.html",华东医药资讯,07-04 04:28
700,2,华东医药：子公司获得利拉鲁肽注射液药品注册证书,"/news,000963,1327309125.html",华东医药资讯,07-04 04:27
577,2,华东医药：全资子公司利拉鲁肽注射液获得药品注册证书,"/news,000963,1327307683.html",华东医药资讯,07-04 04:21
465,0,华东医药：产品取得注册证,"/news,000963,1327307029.html",华东医药资讯,07-04 04:17
80,0,华东医药：连续3日融资净买入累计684.07万元（07-03）,"/news,000963,1327003319.html",华东医药资讯,07-04 08:46
149,0,华东医药07月03日被深股通减持58.8万股,"/news,000963,1326995867.html",华东医药资讯,07-04 07:53
99,0,华东医药：融资净买入422.44万元，融资余额8.71亿元（06-30）,"/news,000963,1326552417.html",华东医药资讯,07-03 08:51
124,0,华东医药本周融资净偿还2124.56万元，居化学制药板块第三,"/news,000963,1326463586.html",大眼看两融,07-02 03:04
151,0,华东医药本周深股通持股市值增加7272.21万元，居化学制药板块第三,"/news,000963,1326458902.html",胖猫周周见,07-02 02:12
347,0,华东医药06月30日获深股通增持44.58万股,"/news,000963,1326369225.html",华东医药资讯,07-01 07:49
2667,4,华东医药旗下公司欣可丽美学携Reaction芮艾瑅重磅亮相,"/news,000963,1326323446.html",华东医药资讯,06-30 09:22
1152,4,华东医药：华东宁波的清算工作由法院组织清算组主持 目前尚未结束,"/news,000963,1326267813.html",华东医药资讯,06-30 04:31
519,0,注意！华东医药将于7月19日召开股东大会,"/news,000963,1326261493.html",华东医药资讯,06-30 04:01
183,0,西部证券维持华东医药增持评级 预计2023年净利润同比增长17.64%,"/news,000963,1326048317.html",公司研报提示,06-30 10:26
53,0,华东医药：融资净买入54.09万元，融资余额8.67亿元（06-29）,"/news,000963,1325946154.html",华东医药资讯,06-30 08:52
130,0,华东医药06月29日获深股通增持33.79万股,"/news,000963,1325935017.html",华东医药资讯,06-30 07:42
2102,10,全球首创三抗DR30206临床申请获批 华东医药创新发展持续领跑,"/news,000963,1325849717.html",华东医药资讯,06-29 07:38
326,0,华东医药：控股子公司获得药物临床试验批准,"/news,000963,1325840827.html",华东医药资讯,06-29 06:38
561,0,华东医药：子公司注射用DR30206获准开展晚期实体瘤的临床试验,"/news,000963,1325824712.html",华东医药资讯,06-29 05:48
565,0,华东医药：获得《药物临床试验批准通知书》,"/news,000963,1325819412.html",华东医药资讯,06-29 05:26
83,0,华东医药：连续5日融资净偿还累计5059.7万元（06-28）,"/news,000963,1325488192.html",华东医药资讯,06-29 08:44
211,2,华东医药06月28日获深股通增持114.26万股,"/news,000963,1325479947.html",华东医药资讯,06-29 07:48
117,0,华东医药6月28日盘中涨幅达5%,"/news,000963,1325071194.html",华东医药资讯,06-28 09:50
82,0,华东医药：连续4日融资净偿还累计4692.57万元（06-27）,"/news,000963,1325013540.html",华东医药资讯,06-28 08:42
175,0,华东医药06月27日被深股通减持42.86万股,"/news,000963,1325006403.html",华东医药资讯,06-28 07:52
86,0,华东医药：连续3日融资净偿还累计3567.67万元（06-26）,"/news,000963,1324580256.html",华东医药资讯,06-27 08:44
188,0,华东医药06月26日获深股通增持16.68万股,"/news,000963,1324570534.html",华东医药资讯,06-27 07:38
77,0,华东医药：融资净偿还2113.03万元，融资余额8.88亿元（06-21）,"/news,000963,1324102217.html",华东医药资讯,06-26 08:43
269,0,华东医药06月21日获深股通增持31.63万股,"/news,000963,1323730332.html",华东医药资讯,06-22 07:32
1050,1,华东医药：董事牛战旗辞职,"/news,000963,1323664158.html",华东医药资讯,06-21 06:13
757,0,华东医药：公司董事牛战旗辞职,"/news,000963,1323663450.html",华东医药资讯,06-21 06:09
69,0,华东医药：融资净偿还768.03万元，融资余额9.09亿元（06-20）,"/news,000963,1323269271.html",华东医药资讯,06-21 08:42
132,0,华东医药06月20日获深股通增持10.43万股,"/news,000963,1323258031.html",华东医药资讯,06-21 07:46
2535,7,华东医药旗下珲信生物与尧唐生物达成战略合作,"/news,000963,1323021016.html",华东医药资讯,06-20 01:57
86,0,华东医药：融资净买入146.61万元，融资余额9.17亿元（06-19）,"/news,000963,1322765541.html",华东医药资讯,06-20 08:44
160,0,华东医药06月19日被深股通减持70.08万股,"/news,000963,1322758172.html",华东医药资讯,06-20 07:54
73,0,华东医药：融资净偿还12.76万元，融资余额9.16亿元（06-16）,"/news,000963,1322291799.html",华东医药资讯,06-19 08:44
115,0,华东医药本周融资净偿还2419.31万元，居化学制药板块第三,"/news,000963,1322205931.html",大眼看两融,06-18 03:05
131,0,华东医药本周深股通持股市值增加2837.92万元，居化学制药板块第六,"/news,000963,1322199968.html",胖猫周周见,06-18 02:04
213,0,华东医药06月16日被深股通减持46.21万股,"/news,000963,1322098273.html",华东医药资讯,06-17 07:50
1011,3,【调研快报】华东医药接待华泰证券等多家机构调研,"/news,000963,1321991178.html",华东医药资讯,06-16 05:08
533,0,大宗交易：华东医药成交460万元，折价5.28%（06-16）,"/news,000963,1321981802.html",华东医药资讯,06-16 04:31
3362,13,华东医药：利拉鲁肽注射液在部分省市已实现入院销售 预计三季度完成全部省份挂网和入院,"/news,000963,1321979095.html",华东医药资讯,06-16 04:20
79,0,华东医药：融资净买入522.15万元，融资余额9.16亿元（06-15）,"/news,000963,1321632478.html",华东医药资讯,06-16 08:44
154,0,华东医药06月15日获深股通增持22.38万股,"/news,000963,1321621447.html",华东医药资讯,06-16 07:35
79,0,华东医药：连续6日融资净偿还累计5359.51万元（06-14）,"/news,000963,1321116334.html",华东医药资讯,06-15 08:47
207,0,华东医药06月14日获深股通增持111.87万股,"/news,000963,1321106438.html",华东医药资讯,06-15 07:43
79,0,华东医药：连续5日融资净偿还累计4063.37万元（06-13）,"/news,000963,1320607249.html",华东医药资讯,06-14 08:38
153,0,华东医药06月13日被深股通减持36.75万股,"/news,000963,1320598155.html",华东医药资讯,06-14 07:42
91,0,华东医药：连续4日融资净偿还累计3142.94万元（06-12）,"/news,000963,1320126919.html",华东医药资讯,06-13 08:48
196,0,华东医药06月12日获深股通增持15.84万股,"/news,000963,1320116434.html",华东医药资讯,06-13 07:40
80,0,华东医药：连续3日融资净偿还累计2418.05万元（06-09）,"/news,000963,1319654718.html",华东医药资讯,06-12 08:55
103,0,融资融券周汇总：华东医药本周融资净买入43.59万元,"/news,000963,1319569434.html",大眼看两融,06-11 03:04
156,1,华东医药本周深股通持股市值减少8828.86万元，居化学制药板块第一,"/news,000963,1319563955.html",胖猫周周见,06-11 02:05
231,0,华东医药06月09日被深股通减持50.16万股,"/news,000963,1319466692.html",华东医药资讯,06-10 07:47
64,0,华东医药：融资净偿还1671.43万元，融资余额9.44亿元（06-08）,"/news,000963,1318989267.html",华东医药资讯,06-09 08:47
1768,4,华东医药自研口服小分子GLP-1类新药首例受试者入组,"/news,000963,1318933558.html",华东医药资讯,06-08 09:38
2930,37,华东医药自主研发新进展 口服GLP-1新药首例受试者入组,"/news,000963,1318895832.html",华东医药资讯,06-08 07:30
74,0,华东医药：融资净偿还356.8万元，融资余额9.61亿元（06-07）,"/news,000963,1318490952.html",华东医药资讯,06-08 08:45
95,0,华东医药：融资净买入442.04万元，融资余额9.64亿元（06-06）,"/news,000963,1318017648.html",华东医药资讯,06-07 08:41
