read amount,comments,title,content link,author,create time
91,0,平安银行：融资净偿还6946.09万元，两市排名第20（07-12）,"/news,000001,1330234371.html",平安银行资讯,07-13 08:44
241,1,平安银行07月12日获深股通增持1290.11万股,"/news,000001,1330226626.html",平安银行资讯,07-13 07:54
94,0,平安银行：融资净买入1895.41万元，融资余额43.39亿元（07-11）,"/news,000001,1329738137.html",平安银行资讯,07-12 08:42
269,3,平安银行07月11日被深股通减持882.73万股,"/news,000001,1329732391.html",平安银行资讯,07-12 07:54
107,0,平安银行：融资净偿还151.22万元，融资余额43.2亿元（07-10）,"/news,000001,1329304184.html",平安银行资讯,07-11 08:38
141,1,平安银行：连续4日融资净买入累计4770.34万元（07-07）,"/news,000001,1328900618.html",平安银行资讯,07-10 08:42
133,0,平安银行本周融资净买入33.56万元，居银行板块第十六,"/news,000001,1328842409.html",大眼看两融,07-09 03:07
159,0,平安银行本周深股通持股市值减少1.12亿元，居银行板块第八,"/news,000001,1328836798.html",胖猫周周见,07-09 02:13
374,3,平安银行07月07日获深股通增持149.01万股,"/news,000001,1328760315.html",平安银行资讯,07-08 07:47
1825,4,因占压财政存款或资金等违法行为 平安银行合计被罚超3400万元,"/news,000001,1328747957.html",平安银行资讯,07-07 09:23
3663,5,三家金融机构收央行罚单 合计被罚没超7000万,"/news,000001,1328730685.html",平安银行资讯,07-07 09:10
127,0,平安银行：连续3日融资净买入累计3815.02万元（07-06）,"/news,000001,1328373441.html",平安银行资讯,07-07 08:40
299,2,平安银行07月06日被深股通减持1134.15万股,"/news,000001,1328366651.html",平安银行资讯,07-07 07:47
124,0,平安银行：融资净买入1912.4万元，融资余额43.03亿元（07-05）,"/news,000001,1327915630.html",平安银行资讯,07-06 08:44
210,0,平安银行07月05日被深股通减持386.72万股,"/news,000001,1327909207.html",平安银行资讯,07-06 07:58
127,0,平安银行：融资净买入1022.75万元，融资余额42.84亿元（07-04）,"/news,000001,1327458260.html",平安银行资讯,07-05 08:40
231,0,平安银行07月04日被深股通减持505.42万股,"/news,000001,1327451731.html",平安银行资讯,07-05 07:50
129,0,平安银行：融资净偿还3781.45万元，融资余额42.74亿元（07-03）,"/news,000001,1327002896.html",平安银行资讯,07-04 08:44
283,0,平安银行07月03日获深股通增持883.37万股,"/news,000001,1326996126.html",平安银行资讯,07-04 07:56
167,0,平安银行：融资净买入2680.91万元，融资余额43.12亿元（06-30）,"/news,000001,1326551693.html",平安银行资讯,07-03 08:47
148,1,平安银行本周融资净买入2503.92万元，居银行板块第七,"/news,000001,1326464838.html",大眼看两融,07-02 03:06
285,1,平安银行本周深股通持股市值减少3.74亿元，居银行板块第三,"/news,000001,1326459773.html",胖猫周周见,07-02 02:15
481,3,平安银行06月30日被深股通减持829.37万股,"/news,000001,1326368713.html",平安银行资讯,07-01 07:44
120,0,平安银行：融资净买入1871.48万元，融资余额42.85亿元（06-29）,"/news,000001,1325946063.html",平安银行资讯,06-30 08:52
233,0,平安银行06月29日被深股通减持1511.17万股,"/news,000001,1325934560.html",平安银行资讯,06-30 07:40
103,0,平安银行：融资净偿还1875.2万元，融资余额42.66亿元（06-28）,"/news,000001,1325492051.html",平安银行资讯,06-29 09:02
216,1,平安银行06月28日被深股通减持120.02万股,"/news,000001,1325479708.html",平安银行资讯,06-29 07:46
