read amount,comments,title,content link,author,create time
2,0,多主力现身龙虎榜，国缆检测涨停（08-02）,"/news,301289,1337354467.html",国缆检测资讯,08-02 04:24
17,0,国缆检测(301289)龙虎榜数据(08-02),"/news,301289,1337354323.html",国缆检测资讯,08-02 04:24
27,0,国缆检测放量涨停 两机构卖出3995万元,"/news,301289,1337353920.html",数据快报,08-02 04:22
6287,16,持续火爆 国缆检测连续20cm涨停！“牛市旗手”再度活跃 财达证券2连板,"/news,301289,1337227643.html",国缆检测资讯,08-02 12:48
1545,12,国缆检测涨19.99%，股价创历史新高,"/news,301289,1337078269.html",国缆检测资讯,08-02 09:39
55,0,国缆检测8月2日盘中涨停,"/news,301289,1337065477.html",国缆检测资讯,08-02 09:32
87,1,国缆检测8月2日开盘涨幅达5%,"/news,301289,1337057864.html",国缆检测资讯,08-02 09:26
56,0,国缆检测：融资净偿还170.69万元，融资余额5294.19万元（08-01）,"/news,301289,1337045613.html",国缆检测资讯,08-02 09:01
11334,55,国缆检测(301289)龙虎榜数据(08-01),"/news,301289,1336916521.html",国缆检测资讯,08-01 04:29
430,1,多主力现身龙虎榜，国缆检测涨停（08-01）,"/news,301289,1336915764.html",国缆检测资讯,08-01 04:26
79,0,国缆检测放量涨停 四机构卖出4012万元,"/news,301289,1336915356.html",数据快报,08-01 04:24
66,0,国缆检测：融资净买入8.93万元，融资余额5464.88万元（07-31）,"/news,301289,1336597548.html",国缆检测资讯,08-01 09:03
62,0,国缆检测：连续3日融资净偿还累计51.53万元（07-28）,"/news,301289,1336119192.html",国缆检测资讯,07-31 09:02
104,0,国缆检测本周融资净偿还20.51万元，居专业服务板块第十二,"/news,301289,1336046340.html",大眼看两融,07-30 03:09
145,0,国缆检测：融资净偿还4.57万元，融资余额5461.75万元（07-27）,"/news,301289,1335486816.html",国缆检测资讯,07-28 08:58
139,0,国缆检测：融资净偿还41.16万元，融资余额5466.32万元（07-26）,"/news,301289,1335033002.html",国缆检测资讯,07-27 09:04
91,0,国缆检测：融资净买入18.44万元，融资余额5507.48万元（07-25）,"/news,301289,1334559890.html",国缆检测资讯,07-26 08:43
77,0,国缆检测：融资净买入6.78万元，融资余额5489.04万元（07-24）,"/news,301289,1334106522.html",国缆检测资讯,07-25 08:53
98,0,国缆检测：连续3日融资净偿还累计388.9万元（07-21）,"/news,301289,1333672585.html",国缆检测资讯,07-24 09:04
144,0,国缆检测本周融资净偿还231.89万元，居专业服务板块第七,"/news,301289,1333575289.html",大眼看两融,07-23 03:10
143,0,国缆检测：融资净偿还203.81万元，融资余额5592.7万元（07-20）,"/news,301289,1333076181.html",国缆检测资讯,07-21 09:04
125,0,国缆检测：融资净偿还74.65万元，融资余额5796.51万元（07-19）,"/news,301289,1332591719.html",国缆检测资讯,07-20 08:56
112,0,国缆检测：融资净买入93.58万元，融资余额5871.15万元（07-18）,"/news,301289,1332156618.html",国缆检测资讯,07-19 08:59
53,0,国缆检测：连续3日融资净偿还累计496.1万元（07-17）,"/news,301289,1331727710.html",国缆检测资讯,07-18 09:06
119,1,国缆检测7月17日快速上涨,"/news,301289,1331331743.html",国缆检测资讯,07-17 09:33
51,0,国缆检测：融资净偿还289.49万元，融资余额5824.59万元（07-14）,"/news,301289,1331305349.html",国缆检测资讯,07-17 09:01
